id,department,number,school,title,course_level,department_alias,units,description,department_name,professor_history,prerequisite_tree,prerequisite_list,prerequisite_text,prerequisite_for,repeatability,grading_option,concurrent,same_as,restriction,overlap,corequisite,ge_list,ge_text,terms
ACENG22A,AC ENG,22A,School of Humanities,Academic English Reading and Vocabulary,Lower Division (1-99),[],"[2, 2]","Intensive reading exercises with occasional practice in extensive reading, focusing on comprehension, development of vocabulary, syntax, rhetorical features, reading strategies, and study skills.",Academic English,[],"{""AND"":[""PLACEMENT EXAM or authorization""]}",['PLACEMENT EXAM or authorization'],PLACEMENT EXAM or authorization,[],,,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Summer1', '2020 Summer10wk', '2020 Summer2', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Summer1', '2021 Summer10wk', '2021 Summer2', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ACENG22B,AC ENG,22B,School of Humanities,ESL Reading and Vocabulary,Lower Division (1-99),[],"[2, 2]","Extensive reading and discussion with emphasis on journal articles, textbook chapters, notetaking, and the interpretation of charts, diagrams, tables, and figures.",Academic English,[],,[],,[],,Pass/no pass only.,,,,,,[],,"['2019 Summer2', '2020 Summer2', '2021 Summer2', '2022 Summer2']"
ACENG23A,AC ENG,23A,School of Humanities,Oral English Communication I,Lower Division (1-99),[],"[2, 2]","Designed to help students hear and produce the sounds of English as an International Language with greater accuracy and confidence. Focuses on pronunciation features (e.g., consonant sounds, consonant clusters, vowels, thought groups, and nuclear stress).",Academic English,[],,[],,"['AC ENG 23C', 'AC ENG 24']",May be taken for credit 3 times.,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter']"
ACENG23B,AC ENG,23B,School of Humanities,Oral English Communication II,Lower Division (1-99),[],"[2, 2]","Designed to help students develop conversational fluency in English as an International Language. Focuses on applying knowledge of linguistic features and communicative skills during conversational exchange in a variety of social, academic, and professional contexts.",Academic English,[],,[],,"['AC ENG 23C', 'AC ENG 24']",May be taken for credit 3 times.,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring']"
ACENG23C,AC ENG,23C,School of Humanities,Oral English Communication III,Lower Division (1-99),[],"[2, 2]","Designed to help students hone their public speaking skills in English as an International Language. Focuses on preparing, organizing, and delivering speeches and presentations and interacting with the audience, emphasizing skills needed in academic settings.",Academic English,[],"{""OR"":[""AC ENG 23A"",""AC ENG 23B""]}","['AC ENG 23A', 'AC ENG 23B']", AC ENG 23A or AC ENG 23B,['AC ENG 24'],May be taken for credit 3 times.,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Fall', '2020 Fall']"
ACENG24,AC ENG,24,School of Humanities,ESL International TA Workshop,Lower Division (1-99),[],"[2, 2]",Designed for advanced-level international students preparing to be teaching assistants. Provides extensive practice in oral and written communication skills associated with teaching introductory-level college courses and participating in academic presentations and discussions. Review and analysis of language problems.,Academic English,[],"{""OR"":[""AC ENG 23A"",""AC ENG 23B"",""AC ENG 23C""]}","['AC ENG 23A', 'AC ENG 23B', 'AC ENG 23C']", AC ENG 23A or AC ENG 23B or AC ENG 23C,[],May be taken for credit 3 times.,Pass/no pass only.,,,,,,[],,['2019 Spring']
ACENG28,AC ENG,28,School of Humanities,Grammar,Lower Division (1-99),[],"[2, 4]","A full review of English grammar covering the following areas: grammar terms, verb tenses, verb forms, conditionals, passive and word forms, punctuation, sentence structure. The concepts are applied in targeted sentence and paragraph writing practice.",Academic English,[],,[],,[],May be taken for credit 3 times.,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall']"
ACENG29,AC ENG,29,School of Humanities,Special Topics in ESL,Lower Division (1-99),[],"[2, 2]","Directed and individualized work in English as a second language not covered in the AC ENG 20, 21, 22 sequence.",Academic English,[],,[],,[],Unlimited as topics vary.,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Summer2', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring']"
AFAM111A,AFAM,111A,School of Humanities,Modern African American Art,Upper Division (100-199),[],"[4, 4]","Investigates the history of modern African American art; emphasis on the politics of representation. Examines art in a variety of media from material culture and textiles to painting and photography. Issues of migration, nationalism, gender, sexuality, and hybridity are discussed.",African American Studies,[],,[],,[],,,,AHIS 164A.,,,,[],,"['2020 Winter', '2021 Fall']"
AFAM111B,AFAM,111B,School of Humanities,Contemporary African American Art,Upper Division (100-199),[],"[4, 4]","Investigates the history of contemporary African American art; emphasis on the politics of representation. Explores art in a variety of media: painting, sculpture, photography, installation, and new media. Cultural politics, appropriation, identity, gender, sexuality, hybridity and civil rights issues discussed.",African American Studies,[],,[],,[],,,,AHIS 164B.,,,,[],,"['2019 Winter', '2021 Winter', '2022 Winter']"
AFAM112A,AFAM,112A,School of Humanities,Early African American Literature,Upper Division (100-199),[],"[4, 4]","Examines the earliest forms of black literary practices, including the jeremiad, the slave narrative, the pamphlet, poetry, the short story, and how these literary forms are related to the historical experiences of enslavement and emancipation.",African American Studies,['chandlen'],,[],,[],Unlimited as topics vary.,,,,,,,[],,[]
AFAM112B,AFAM,112B,School of Humanities,African American Literature 1900-Present,Upper Division (100-199),[],"[4, 4]","Examines individual literary forms and/or authors, as well as movements such as the Harlem Renaissance and the Black Arts Movement. Explores how black literary practices represent the conditions of modern subjectivities and environments.",African American Studies,['chandlen'],,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2020 Winter', '2021 Spring']"
AFAM113,AFAM,113,School of Humanities,African American Cinema and Media,Upper Division (100-199),[],"[4, 4]","Explores the diversity of Black creative production and the historical, social, and economic forces that shaped their emergence. May include Black film, hip-hop culture, fine art, photography, and others.",African American Studies,"['jcsexton', 'sdaulatz']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2019 Fall', '2020 Fall', '2021 Fall', '2022 Spring', '2022 Fall']"
AFAM114,AFAM,114,School of Humanities,International Cultures,Upper Division (100-199),[],"[4, 4]","Explores the various cultures of the African diaspora and their impacts on a global scale. Examines a diverse range of media, including music (reggae, hip-hop), literature, film, and others and the links between culture and social movements throughout the diaspora.",African American Studies,[],,[],,[],Unlimited as topics vary.,,,,,,,[],,[]
AFAM115,AFAM,115,School of Humanities,Race and Visual Representation,Upper Division (100-199),[],"[4, 4]","Examines film, documentary, fine art, photography, and other visual media to explore the multiple ways in which ideas about race are projected and woven through the visual landscape and the impacts this has on perpetuating social inequalities.",African American Studies,"['chandlen', 'jcsexton', 'sdaulatz', 'vejohnso']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2021 Spring', '2022 Winter', '2022 Fall']"
AFAM118,AFAM,118,School of Humanities,Topics in African American Humanities,Upper Division (100-199),[],"[4, 4]","Provides students with an opportunity to pursue advanced work in African American studies from one or more humanities approaches (literature, film and media studies, art history, and others).",African American Studies,"['rradhakr', 'chandlen', 'aborucki', 'sdaulatz']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2019 Spring', '2021 Fall', '2022 Fall']"
AFAM125,AFAM,125,School of Humanities,African American Women in Art,Upper Division (100-199),[],"[4, 4]","Examines depictions of and by African American women in art and popular culture through a variety of media including textiles, painting, sculpture, photography, and installation. Focuses on African American women's experiences, perspectives, and strategies for contemporary representation.",African American Studies,[],,[],,[],,,,AHIS 164D.,,,,[],,['2020 Winter']
AFAM128,AFAM,128,School of Humanities,Topics in Gender/Sexuality,Upper Division (100-199),[],"[4, 4]",Expressions of genders and sexualities across the spectrum of African American experience and creativity.,African American Studies,"['slharvey', 'rradhakr', 'jcsexton']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Spring', '2019 Fall', '2020 Winter', '2021 Winter', '2021 Fall', '2022 Winter', '2022 Fall']"
AFAM134A,AFAM,134A,School of Humanities,Caribbean History: Colonization to Emancipation,Upper Division (100-199),[],"[4, 4]","Exploration of the history of the archipelago from pre-Columbian times to the end of slavery; examining the impact of European colonization, decimation of the indigenous populations, African slavery, resistance, and emancipation; the unity and diversity of experience in region.",African American Studies,[],,[],,[],,,,HIST 164A.,,,,[],,['2019 Fall']
AFAM134B,AFAM,134B,School of Humanities,Caribbean History: Emancipation to Independence,Upper Division (100-199),[],"[4, 4]","Post-emancipation and anti-colonial struggles ending with political independence for most of the region. Examines social, political, economic, cultural dimensions of post-emancipation period, including large-scale migration to Central America, the U.S., and Britain; the region's global cultural and political contribution.",African American Studies,[],,[],,[],,,,HIST 164B.,,,,[],,['2020 Fall']
AFAM137,AFAM,137,School of Humanities,History of the African Diaspora,Upper Division (100-199),[],"[4, 4]","Examines the causes and consequences of the multiple diasporas of African peoples since the sixteenth century in the Atlantic world, especially the Americas and Europe.",African American Studies,[],,[],,[],,,,HIST 134E.,,,,[],,"['2020 Spring', '2021 Winter', '2022 Fall']"
AFAM138,AFAM,138,School of Humanities,Topics in African American History,Upper Division (100-199),[],"[4, 4]",Studies in selected areas of African American history.  Topics addressed vary each quarter.,African American Studies,"['millward', 'chandlen', 'aborucki']",,[],,[],Unlimited as topics vary.,,,HIST 150.,,,,[],,"['2019 Fall', '2020 Winter', '2020 Fall', '2021 Winter', '2021 Spring', '2022 Spring', '2022 Fall']"
AFAM143,AFAM,143,School of Humanities,Topics in African American Music,Upper Division (100-199),[],"[4, 4]","Examines African American musical forms and traditions, such as blues, jazz, and reggae, in performance and/or critical and theoretical contexts.",African American Studies,[],,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Spring', '2019 Fall', '2020 Winter', '2020 Fall', '2021 Spring']"
AFAM144,AFAM,144,School of Humanities,Topics in Expressive Forms,Upper Division (100-199),[],"[4, 4]","Examines various forms of aesthetic expression in the African diaspora, including dance, music, and the plastic arts, as well as artistic visions of black cyberspace, digital activism, film, video, and aesthetic conceptions of the future.",African American Studies,"['chandlen', 'zfprice']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2019 Fall', '2020 Fall', '2021 Winter', '2021 Fall']"
AFAM145,AFAM,145,School of Humanities,African Americans and Photography,Upper Division (100-199),[],"[4, 4]",Explores depictions of and by African Americans through photography. Examines the history of photography in relationship to African American culture through a variety of media from early daguerreotype processes to digital imagery.,African American Studies,[],,[],,[],,,,AHIS 164E.,,,,[],,"['2020 Spring', '2021 Fall']"
AFAM151,AFAM,151,School of Humanities,Comparative Minority Politics,Upper Division (100-199),[],"[4, 4]","Examines the political experiences of Blacks, Latinos, and Asian Americans in the United States from roughly 1950 to the present. Focuses on how each group has pursued political empowerment via both conventional political channels and social movements.",African American Studies,[],,[],,[],,,,"ASAM 132, CHLT 147, PLSC 124C.",,,,[],,"['2019 Summer1', '2019 Summer10wk', '2020 Summer1', '2020 Summer10wk', '2021 Summer2']"
AFAM152,AFAM,152,School of Humanities,African American Politics,Upper Division (100-199),[],"[4, 4]","Examines politics of African Americans in order to gain a broader perspective of the American political process. Major developments in African American politics (including the civil rights movement, Black presidential bids), continuing problem of racism, responsiveness of key governing institutions.",African American Studies,[],,[],,[],,,,PLSC 124E.,,,,[],,"['2019 Spring', '2020 Winter', '2021 Winter', '2022 Winter']"
AFAM153,AFAM,153,School of Humanities,African American Psychology,Upper Division (100-199),[],"[4, 4]","Historical overview of the development of black psychology and the African American frame of reference. Topics include personality development, psychological assessment, issues in education, black mental health, and the role of the African American psychologist in the community.",African American Studies,[],,[],,[],,,,PSYC 174E.,,,,[],,[]
AFAM154,AFAM,154,School of Humanities,African American Social Formations,Upper Division (100-199),[],"[4, 4]","Topics which promote critical investigation into the historical, political, and social formations associated with the Black Diaspora.",African American Studies,"['slharvey', 'sdaulatz']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Spring', '2020 Winter', '2020 Spring', '2021 Winter', '2022 Winter']"
AFAM155,AFAM,155,School of Humanities,Intercultural Studies,Upper Division (100-199),[],"[4, 4]","Studies relationships between various cultural formations within the Black Diaspora and the exchange, amalgamations, and tensions between Black Diasporic formations and non-Black formations. Examines expressions of racialization as representation, adaption, and resistance.",African American Studies,['slharvey'],,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2019 Fall']"
AFAM156,AFAM,156,School of Humanities,African Societies and Politics,Upper Division (100-199),[],"[4, 4]","Examines the violent incorporation of Africa within European modernity. Places the discourse of Pan-Africanism, African Nationalisms, Negritude, African Marxism, and/or African Socialism in juxtaposition to the forces of capitalism, colonialism, and imperialism that restructure African history.",African American Studies,[],,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2021 Winter']"
AFAM157,AFAM,157,School of Humanities,Critical Race Theory,Upper Division (100-199),[],"[4, 4]","Introduction to Critical Race Theory and key American cases on racial inequality. Using this literature, examines the possibilities and pitfalls of legal claims of race, gender, and sexuality discrimination in the age of colorblindness.",African American Studies,['sorayh'],,[],,[],,,,CLS C178.,"Upper-division students only. African-American Studies Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,[],,"['2020 Winter', '2020 Fall', '2022 Winter']"
AFAM158,AFAM,158,School of Humanities,Topics in African American Social Sciences,Upper Division (100-199),[],"[4, 4]","Provides students with an opportunity to pursue advanced work in African American studies from one or more social science approaches (psychology, sociology, anthropology, economics, and others).",African American Studies,"['sorayh', 'jcsexton', 'chandlen']",,[],,[],Unlimited as topics vary.,,,,,,,[],,[]
AFAM159,AFAM,159,School of Humanities,Prisons and Public Education,Upper Division (100-199),[],"[4, 4]",Looks at the connections between schools and prisons in the United States. Students learn about ideas that push beyond common trope of the “school to prison pipeline.”.,African American Studies,[],,[],,[],,,,ANTH 138.,,,,[],,"['2019 Spring', '2021 Winter', '2022 Winter']"
AFAM162W,AFAM,162W,School of Humanities,The Black Protest Tradition,Upper Division (100-199),[],"[4, 4]",History and discourses of the black protest tradition. Traces emergence of black protest against racial slavery and white supremacy from the early colonial period to present and the complex elaboration of identity politics within black communities in the twentieth century.,African American Studies,[],,[], Satisfactory completion of the Lower-Division Writing requirement.,[],,,,,Upper-division students only.,,,['GE Ib: Upper Division Writing'],(Ib),"['2019 Winter', '2020 Winter', '2020 Fall', '2021 Fall']"
AFAM163,AFAM,163,School of Humanities,Seminar in African American Studies,Upper Division (100-199),[],"[4, 4]",Explores theoretical and methodological issues in Black Studies via concentrated work on a specific ensemble of questions. Emphasis is on generating student responses to the material covered through oral and written reports.,African American Studies,"['slharvey', 'rradhakr', 'millward', 'chandlen', 'aborucki']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2019 Winter', '2019 Fall', '2020 Winter', '2021 Winter']"
AFAM198,AFAM,198,School of Humanities,Directed Group Study,Upper Division (100-199),[],"[1, 4]",Special topics through directed reading. Paper required.,African American Studies,"['chandlen', 'jcsexton', 'slharvey']",,[],,[],May be taken for credit for 24 units.,,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
AFAM199,AFAM,199,School of Humanities,Independent Study,Upper Division (100-199),[],"[1, 4]",Investigation of special topics through directed reading. Paper required.,African American Studies,"['chandlen', 'jcsexton', 'sdaulatz', 'slharvey']",,[],,[],May be repeated for credit unlimited times.,,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
AFAM399,AFAM,399,School of Humanities,University Teaching,Graduate/Professional Only (200+),[],"[4, 4]",Limited to teaching assistants.,African American Studies,"['chandlen', 'jcsexton', 'sdaulatz', 'slharvey']",,[],,[],May be repeated for credit unlimited times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Spring', '2022 Fall']"
AFAM40A,AFAM,40A,School of Humanities,African American Studies I,Lower Division (1-99),[],"[4, 4]",Discusses main contours of African American experience from the forced importation of Africans into the Americas in the late fifteenth century to the development of social movements in post-emancipation societies of the late nineteenth and twentieth centuries.,African American Studies,['chandlen'],,[],,[],,,,,,,,"['GE III: Social & Behavioral Sciences', 'GE IV: Arts and Humanities', 'GE VII: Multicultural Studies']",((III or IV) and VII ).,"['2019 Summer2', '2019 Fall', '2020 Summer2', '2020 Fall', '2021 Summer2', '2021 Fall', '2022 Summer2', '2022 Fall']"
AFAM40B,AFAM,40B,School of Humanities,African American Studies II,Lower Division (1-99),[],"[4, 4]","Introduction to the history of modern racial thinking in Western society and its relationship to the material contexts of racial oppression, with emphasis on its development in British colonies and U.S.",African American Studies,"['chandlen', 'jcsexton']",,[],,[],,,,,,,,"['GE III: Social & Behavioral Sciences', 'GE IV: Arts and Humanities', 'GE VII: Multicultural Studies']",((III or IV) and VII ).,"['2019 Winter', '2019 Summer1', '2019 Summer10wk', '2020 Winter', '2020 Summer1', '2020 Summer10wk', '2021 Winter', '2021 Summer1', '2021 Summer10wk', '2022 Winter']"
AFAM40C,AFAM,40C,School of Humanities,African American Studies III,Lower Division (1-99),[],"[4, 4]","Introduction to theories of racial blackness in the modern world, with emphasis on developments in British colonies and U.S. Traces emergence of blackness as term of collective identity, social organization, and political mobilization.",African American Studies,"['slharvey', 'jcsexton', 'sdaulatz']",,[],,[],,,,,,,,"['GE III: Social & Behavioral Sciences', 'GE IV: Arts and Humanities', 'GE VII: Multicultural Studies']",((III or IV) and VII ).,"['2019 Spring', '2020 Spring', '2021 Spring', '2022 Spring']"
AFAM50,AFAM,50,School of Humanities,Introductory Topics in African American Studies,Lower Division (1-99),[],"[4, 4]","Introduction to a broad range of topics in African American studies, exploring history, literature, art, culture, politics, and contemporary social issues. Topical organization of courses addresses issues that have been of importance historically and are reshaping the African diaspora today.",African American Studies,"['millward', 'chandlen']",,[],,[],Unlimited as topics vary.,,,,,,,[],,"['2020 Spring', '2021 Winter']"
ANATOMY200,ANATOMY,200,School of Medicine,Research in Anatomy,Graduate/Professional Only (200+),[],"[2, 12]",Individual research supervised by a particular faculty member.,Anatomy and Neurobiology,[],,[],,[],May be repeated for credit unlimited times.,,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ANATOMY200R,ANATOMY,200R,School of Medicine,Research in Anatomy and Neurobiology for First-Year Students,Graduate/Professional Only (200+),[],"[2, 12]",Independent research within the laboratories of graduate training faculty in the Department of Anatomy and Neurobiology for first-year Ph.D. students.,Anatomy and Neurobiology,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ANATOMY201,ANATOMY,201,School of Medicine,Human Gross Anatomy,Graduate/Professional Only (200+),[],"[8, 8]","Study and dissection of the human body, including muscular, skeletal, nervous, and cardiovascular systems. Emphasis on both normal and abnormal structure and function.",Anatomy and Neurobiology,[],,[],,[],,,,,Graduate students only.,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ANATOMY202B,ANATOMY,202B,School of Medicine,Human Neuroscience,Graduate/Professional Only (200+),[],"[4, 4]","Study of the human nervous system at the systems level including the physiology and anatomy of sensory, motor, and integrative functions.",Anatomy and Neurobiology,[],,[], ANATOMY 202A,[],,,,,,,,[],,"['2019 Winter', '2019 Spring', '2020 Winter', '2020 Spring', '2021 Spring', '2022 Winter']"
ANATOMY203A,ANATOMY,203A,School of Medicine,Human Microscopoic Anatomy,Graduate/Professional Only (200+),[],"[3, 3]",Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues.,Anatomy and Neurobiology,[],,[],,['ANATOMY 203B'],,,,,Graduate students only.,,,[],,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
ANATOMY203B,ANATOMY,203B,School of Medicine,Human Microscopoic Anatomy,Graduate/Professional Only (200+),[],"[3, 3]",Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues.,Anatomy and Neurobiology,[],"{""AND"":[""ANATOMY 203A""]}",['ANATOMY 203A'], ANATOMY 203A,[],,,,,Graduate students only.,,,[],,"['2019 Spring', '2020 Spring', '2021 Spring']"
ANATOMY206,ANATOMY,206,School of Medicine,Tutorial in Anatomy,Graduate/Professional Only (200+),[],"[3, 3]",Series of tutorials on advanced topics in anatomy.,Anatomy and Neurobiology,[],,[],,[],May be repeated for credit unlimited times.,,,,,,,[],,[]
ANATOMY206B,ANATOMY,206B,School of Medicine,Neuroanatomy,Graduate/Professional Only (200+),[],"[3, 3]","Exploration of special topics in neuroanatomy.  Primarily library work, but study of prepared slides also included.",Anatomy and Neurobiology,[],,[],,[],May be repeated for credit unlimited times.,,,,,,,[],,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
ANATOMY206C,ANATOMY,206C,School of Medicine,Tutorial in Microanatomy,Graduate/Professional Only (200+),[],"[3, 3]","Special topics in microanatomy.  Primarily library work, but study of prepared histological slides and photographs included.",Anatomy and Neurobiology,[],,[],,[],May be repeated for credit unlimited times.,,,,,,,[],,['2021 Spring']
ANATOMY210A,ANATOMY,210A,School of Medicine,Systems Neuroscience,Graduate/Professional Only (200+),[],"[5, 5]","Study of the mammalian nervous system at the systems level. Anatomy and physiology of sensory, motor, and integrative functions.",Anatomy and Neurobiology,[],,[],,[],May be taken for credit 2 times.,,,NEURBIO 208.,Graduate students only. Neurobiology and Behavior Majors only.,,,[],,"['2019 Fall', '2020 Fall', '2021 Fall', '2022 Fall']"
